"","zip","FDID","name","address","city","state","location","latitude","longitude","geometry"
"154","92410","36195","City of San Bernardino Fire Department","200 E 3RD ST","San Bernardino","CA","200 E 3RD ST San Bernardino, CA 92410",34.106965,-117.2975,c(-117.2975, 34.106965)
"155","92415","36193","San Bernardino County Fire Protection District","157 W 5TH ST, FL 2","San Bernardino","CA","157 W 5TH ST, FL 2 San Bernardino, CA 92415",34.839964,-115.967051,c(-115.967051, 34.839964)
"156","92504","33075","City of Riverside Fire Department","3085 St Lawerence ST","Riverside","CA","3085 St Lawerence ST Riverside, CA 92504",33.926315,-117.40937,c(-117.40937, 33.926315)
"157","92509","33080","Rubidoux Fire Service","3590 Rubidoux BLVD","Jurupa Valley","CA","3590 Rubidoux BLVD Jurupa Valley, CA 92509",33.998751,-117.44695,c(-117.44695, 33.998751)
"158","92518","00MAB","March Field Fire Department","2685 Graeber ST","March Air Reserve Base","CA","2685 Graeber ST March Air Reserve Base, CA 92518",33.891084,-117.2726,c(-117.2726, 33.891084)
"159","92521","33905","University of California Riverside","UCR EH&S","Riverside","CA","UCR EH&S Riverside, CA 92521",33.752886,-116.055617,c(-116.055617, 33.752886)
"160","92530","33035","Lake Elsinore Fire Service","410 W Graham AVE","Lake Elsinore","CA","410 W Graham AVE Lake Elsinore, CA 92530",33.675893,-117.34946,c(-117.34946, 33.675893)
"161","92530","33070","Perris Fire Services","410 W Graham AVE","Elsinore","CA","410 W Graham AVE Elsinore, CA 92530",33.675893,-117.34946,c(-117.34946, 33.675893)
"162","92539","","Anza Volunteer Fire Department","56560 Highway 371","Anza","CA","56560 Highway 371 Anza, CA 92539",33.55055,-116.67362,c(-116.67362, 33.55055)
"163","92543","33040","City of Hemet Fire Department","510 E Florida AVE","Hemet","CA","510 E Florida AVE Hemet, CA 92543",33.73542,-116.97401,c(-116.97401, 33.73542)
"164","92549","33045","Idyllwild Fire Protection District","54160 Marantha DR","Idyllwild","CA","54160 Marantha DR Idyllwild, CA 92549",33.750795,-116.72562,c(-116.72562, 33.750795)
"165","92552","33054","Moreno Valley Fire Service","22850 Calle San Juan de Los Lagos","Moreno Valley","CA","22850 Calle San Juan de Los Lagos Moreno Valley, CA 92552",33.752886,-116.055617,c(-116.055617, 33.752886)
"166","92562","33055","Murrieta Fire Department","41825 Juniper ST","Murrieta","CA","41825 Juniper ST Murrieta, CA 92562",33.568617,-117.25264,c(-117.25264, 33.568617)
"167","92570","33090","Riverside County Fire Department","210 W San Jacinto AVE","Perris","CA","210 W San Jacinto AVE Perris, CA 92570",33.784051,-117.29812,c(-117.29812, 33.784051)
"168","92570","33555","Cal Fire - Riverside County Fire Department","210 W San Jacinto AVE","Perris","CA","210 W San Jacinto AVE Perris, CA 92570",33.784051,-117.29812,c(-117.29812, 33.784051)
"169","92583","33088","Soboba Band of Luiseno Indians Fire Department","23121 Soboba RD","San Jacinto","CA","23121 Soboba RD San Jacinto, CA 92583",33.788491,-116.95125,c(-116.95125, 33.788491)
"170","92583","33085","San Jacinto Fire Service","132 S San Jacinto ST","San Jacinto","CA","132 S San Jacinto ST San Jacinto, CA 92583",33.788491,-116.95125,c(-116.95125, 33.788491)
"171","92587","33017","Canyon Lake Fire Service","28730 Vacation DR","Canyon Lake","CA","28730 Vacation DR Canyon Lake, CA 92587",33.692876,-117.25038,c(-117.25038, 33.692876)
"172","92589","33115","Temecula Fire Service","43200 Business Park DR","Temecula","CA","43200 Business Park DR Temecula, CA 92589",33.752886,-116.055617,c(-116.055617, 33.752886)
"173","92592","33067","Pechanga Fire Department","48240 Pechanga RD","Temecula","CA","48240 Pechanga RD Temecula, CA 92592",33.495343,-117.07657,c(-117.07657, 33.495343)
"174","92602","30065","Orange County Fire Authority","1 Fire Authority RD","Irvine","CA","1 Fire Authority RD Irvine, CA 92602",33.73297,-117.76932,c(-117.76932, 33.73297)
"175","92628","30020","Costa Mesa Fire Department","77 Fair DR","Costa Mesa","CA","77 Fair DR Costa Mesa, CA 92628",33.640302,-117.769442,c(-117.769442, 33.640302)
"176","92648","30040","Huntington Beach Fire Department","2000 Main ST","Huntington Beach","CA","2000 Main ST Huntington Beach, CA 92648",33.673468,-118.00243,c(-118.00243, 33.673468)
"177","92651","30045","Laguna Beach Fire Department","505 Forest AVE","Laguna Beach","CA","505 Forest AVE Laguna Beach, CA 92651",33.535325,-117.77192,c(-117.77192, 33.535325)
"178","92658","30055","Newport Beach Fire Department","100 Civic Center","Newport Beach","CA","100 Civic Center Newport Beach, CA 92658",33.640302,-117.769442,c(-117.769442, 33.640302)
"179","92674","37146","San Onofre Fire Department","5000 Mesa RD","San Clemente","CA","5000 Mesa RD San Clemente, CA 92674",33.438428,-117.623131,c(-117.623131, 33.438428)
"180","92707","30075","Santa Ana Fire Department","1439 S Broadway","Santa Ana","CA","1439 S Broadway Santa Ana, CA 92707",33.719118,-117.87143,c(-117.87143, 33.719118)
"181","92708","30025","City of Fountain Valley Fire Department","10200 Slater AVE","Fountain Valley","CA","10200 Slater AVE Fountain Valley, CA 92708",33.708618,-117.95629,c(-117.95629, 33.708618)
"182","92805","30005","Anaheim Fire & Rescue","201 S Anaheim BLVD STE 300","Anaheim","CA","201 S Anaheim BLVD STE 300 Anaheim, CA 92805",33.835665,-117.90807,c(-117.90807, 33.835665)
"183","92821","30010","Brea Fire Department","1 Civic Center CIR","Brea","CA","1 Civic Center CIR Brea, CA 92821",33.923463,-117.89559,c(-117.89559, 33.923463)
"184","92832","30030","Fullerton Fire Department","312 E Commonwealth AVE","Fullerton","CA","312 E Commonwealth AVE Fullerton, CA 92832",33.869114,-117.92985,c(-117.92985, 33.869114)
"185","92842","30035","Garden Grove Fire Department","11301 Acacia PKWY","Garden Grove","CA","11301 Acacia PKWY Garden Grove, CA 92842",33.640302,-117.769442,c(-117.769442, 33.640302)
"186","92860","33060","City of Norco Fire Department","3367 Corydon AVE","Norco","CA","3367 Corydon AVE Norco, CA 92860",33.925885,-117.55978,c(-117.55978, 33.925885)
"187","92860","33410","California Rehabilitation Center","5th ST & Western","Norco","CA","5th ST & Western Norco, CA 92860",33.925885,-117.55978,c(-117.55978, 33.925885)
"188","92866","30060","Orange Fire Department","176 S Grand ST","Orange","CA","176 S Grand ST Orange, CA 92866",33.785091,-117.84569,c(-117.84569, 33.785091)
"189","92878","36415","California Institution For Women Fire Department","16756 Chino-Corona RD","Corona","CA","16756 Chino-Corona RD Corona, CA 92878",33.752886,-116.055617,c(-116.055617, 33.752886)
"190","92880","33025","Corona Fire Department","735 Public Safety WAY","Corona","CA","735 Public Safety WAY Corona, CA 92880",33.903803,-117.60221,c(-117.60221, 33.903803)
"191","93003","56025","Ventura City Fire Department","1425 Dowell DR","Ventura","CA","1425 Dowell DR Ventura, CA 93003",34.268736,-119.2249,c(-119.2249, 34.268736)
"192","93010","56020","Ventura County Fire Protection District","165 Durley AVE","Camarillo","CA","165 Durley AVE Camarillo, CA 93010",34.231754,-119.05258,c(-119.05258, 34.231754)
"193","93013","42005","Carpinteria-Summerland Fire Protection District","911 Walnut AVE","Carpinteria","CA","911 Walnut AVE Carpinteria, CA 93013",34.402194,-119.52308,c(-119.52308, 34.402194)
"194","93015","56005","City of Fillmore Fire Department","250 Central AVE","Fillmore","CA","250 Central AVE Fillmore, CA 93015",34.396646,-118.90082,c(-118.90082, 34.396646)
"195","93030","56010","City of Oxnard Fire Department","360 W 2ND ST","Oxnard","CA","360 W 2ND ST Oxnard, CA 93030",34.21707,-119.1769,c(-119.1769, 34.21707)
"196","93042","56810","Federal Fire Ventura County","642 Eleventh ST","Point Mugu","CA","642 Eleventh ST Point Mugu, CA 93042",34.113389,-119.112432,c(-119.112432, 34.113389)
"197","93061","56015","City of Santa Paula Fire Department","200 S 10TH ST","Santa Paula","CA","200 S 10TH ST Santa Paula, CA 93061",34.032383,-119.1343,c(-119.1343, 34.032383)
"198","93101","42025","Santa Barbara City Fire Department","121 W Carrillo ST","Santa Barbara","CA","121 W Carrillo ST Santa Barbara, CA 93101",34.420163,-119.7065,c(-119.7065, 34.420163)
"199","93105","42065","San Marcos Pass Volunteer Fire Department","5593 W Camino Cielo","Santa Barbara","CA","5593 W Camino Cielo Santa Barbara, CA 93105",34.44005,-119.75496,c(-119.75496, 34.44005)
"200","93108","42030","Montecito Fire Protection District","595 San Ysidro RD","Santa Barbara","CA","595 San Ysidro RD Santa Barbara, CA 93108",34.433687,-119.63184,c(-119.63184, 34.433687)
"201","93110","42035","Santa Barbara County Fire Department","4410 Cathedral Oaks RD","Santa Barbara","CA","4410 Cathedral Oaks RD Santa Barbara, CA 93110",34.439579,-119.76788,c(-119.76788, 34.439579)
"202","93204","16002","Avenal State Prison Fire Department","1 Kings Way","Avenal","CA","1 Kings Way Avenal, CA 93204",35.930766,-120.10057,c(-120.10057, 35.930766)
"203","93210","10010","Coalinga Fire Department","300 W Elm AVE","Coalinga","CA","300 W Elm AVE Coalinga, CA 93210",36.194736,-120.30865,c(-120.30865, 36.194736)
"204","93221","54015","Exeter Fire Department","137 N F ST","Exeter","CA","137 N F ST Exeter, CA 93221",36.304696,-119.11383,c(-119.11383, 36.304696)
"205","93223","54050","Tulare County Fire Department","907 W Visalia RD","Farmersville","CA","907 W Visalia RD Farmersville, CA 93223",36.300574,-119.20552,c(-119.20552, 36.300574)
"206","93223","54005","City of Farmersville Fire Department","909 W Visalia RD","Farmersville","CA","909 W Visalia RD Farmersville, CA 93223",36.300574,-119.20552,c(-119.20552, 36.300574)
"207","93230","16010","Hanford City Fire Department","350 W Grangeville BLVD","Hanford","CA","350 W Grangeville BLVD Hanford, CA 93230",36.327063,-119.6451,c(-119.6451, 36.327063)
"208","93230","16015","Kings County Fire Department","280 N Campus DR","Hanford","CA","280 N Campus DR Hanford, CA 93230",36.327063,-119.6451,c(-119.6451, 36.327063)
"209","93242","10050","Laton CSD Volunteer Fire Department","20799 S Fowler AVE","Laton","CA","20799 S Fowler AVE Laton, CA 93242",36.43465,-119.71753,c(-119.71753, 36.43465)
"210","93245","16020","Lemoore Volunteer Fire Department","210 Fox ST","Lemoore","CA","210 Fox ST Lemoore, CA 93245",36.312075,-119.80349,c(-119.80349, 36.312075)
"211","93246","63042","COMNAV Region Soutwest Federal Fire Department","190 K ST","Lemoore NAS","CA","190 K ST Lemoore NAS, CA 93246",36.138861,-119.894727,c(-119.894727, 36.138861)
"212","93247","54025","Round Valley Fire Department","24802 Avenue 236","Lindsay","CA","24802 Avenue 236 Lindsay, CA 93247",36.201983,-119.08589,c(-119.08589, 36.201983)
"213","93247","54020","Lindsay Fire Department","185 N Gale Hill","Lindsay","CA","185 N Gale Hill Lindsay, CA 93247",36.201983,-119.08589,c(-119.08589, 36.201983)
"214","93257","54565","Sequoia National Forest - USFS","1839 S Newcomb ST","Porterville","CA","1839 S Newcomb ST Porterville, CA 93257",36.055121,-119.01595,c(-119.01595, 36.055121)
"215","93257","54035","Porterville Fire Department","40 W Cleveland AVE","Porterville","CA","40 W Cleveland AVE Porterville, CA 93257",36.055121,-119.01595,c(-119.01595, 36.055121)
"216","93271","","Sequoia & Kings Canyon National Parks","47050 Generals HWY","Three Rivers","CA","47050 Generals HWY Three Rivers, CA 93271",36.431565,-118.86296,c(-118.86296, 36.431565)
"217","93274","54040","Tulare Fire Department","800 S Blackstone ST","Tulare","CA","800 S Blackstone ST Tulare, CA 93274",36.201451,-119.34994,c(-119.34994, 36.201451)
"218","93280","15411","Wasco State Prison Fire Department (CDCR)","701 Scofield AVE","Wasco","CA","701 Scofield AVE Wasco, CA 93280",35.605045,-119.37143,c(-119.37143, 35.605045)
"219","93286","54065","Woodlake Fire Protection District","216 E Naranjo BLVD","Woodlake","CA","216 E Naranjo BLVD Woodlake, CA 93286",36.431121,-119.10642,c(-119.10642, 36.431121)
"220","93292","54045","Visalia Fire Department","420 N Burke ST","Visalia","CA","420 N Burke ST Visalia, CA 93292",36.358928,-119.24027,c(-119.24027, 36.358928)
"221","93301","15005","Bakersfield Fire Department","2101 H ST","Bakersfield","CA","2101 H ST Bakersfield, CA 93301",35.381408,-119.01935,c(-119.01935, 35.381408)
"222","93308","15010","Kern County Fire Department","5642 Victor ST","Bakersfield","CA","5642 Victor ST Bakersfield, CA 93308",35.487491,-119.00896,c(-119.00896, 35.487491)
"223","93401","40060","San Luis Obispo City Fire Department","2160 Santa Barbara AVE","San Luis Obispo","CA","2160 Santa Barbara AVE San Luis Obispo, CA 93401",35.262548,-120.65196,c(-120.65196, 35.262548)
"224","93402","40035","CAL FIRE/San Luis Obispo County Fire Station #15- South Bay","2315 Bayview Heights DR","Los Osos","CA","2315 Bayview Heights DR Los Osos, CA 93402",35.313222,-120.83468,c(-120.83468, 35.313222)
"225","93405","40080","San Luis Obispo County Fire Department","635 N Santa Rosa ST","San Luis Obispo","CA","635 N Santa Rosa ST San Luis Obispo, CA 93405",35.277189,-120.70305,c(-120.70305, 35.277189)
"226","93420","40005","Five Cities Fire Authority","140 Traffic Way","Arroyo Grande","CA","140 Traffic Way Arroyo Grande, CA 93420",35.119678,-120.55116,c(-120.55116, 35.119678)
"227","93422","40010","Atascadero Fire & Emergency Services","6005 Lewis AVE","Atascadero","CA","6005 Lewis AVE Atascadero, CA 93422",35.474913,-120.676,c(-120.676, 35.474913)
"228","93423","40490","Atascadero State Hospital Fire Department","10333 El Camino Real","Atascadero","CA","10333 El Camino Real Atascadero, CA 93423",35.428241,-120.769493,c(-120.769493, 35.428241)
"229","93424","40015","Avila Beach Fire Department","100 San Luis  ST","Avila Beach","CA","100 San Luis  ST Avila Beach, CA 93424",35.18554,-120.72583,c(-120.72583, 35.18554)
"230","93428","40020","Cambria Fire Department","2850 Burton DR","Cambria","CA","2850 Burton DR Cambria, CA 93428",35.563246,-121.07736,c(-121.07736, 35.563246)
"231","93430","40025","Cayucos Fire Protection District","201 Cayucos DR","Cayucos","CA","201 Cayucos DR Cayucos, CA 93430",35.459347,-120.88947,c(-120.88947, 35.459347)
"232","93433","40030","Grover Beach Fire Department","701 Rockaway AVE","Grover Beach","CA","701 Rockaway AVE Grover Beach, CA 93433",35.120934,-120.61952,c(-120.61952, 35.120934)
"233","93434","42010","City of Guadalupe Fire Department","918 Obispo ST","Guadalupe","CA","918 Obispo ST Guadalupe, CA 93434",34.958896,-120.58014,c(-120.58014, 34.958896)
"234","93436","42015","Lompoc Fire Department","115 S G ST","Lompoc","CA","115 S G ST Lompoc, CA 93436",34.639682,-120.4471,c(-120.4471, 34.639682)
"235","93437","42830","Vandenberg Fire Department","BLDG 10660 1170 Iceland AVE","Vandenberg AFB","CA","BLDG 10660 1170 Iceland AVE Vandenberg AFB, CA 93437",34.73489,-120.53467,c(-120.53467, 34.73489)
"236","93442","40040","Morro Bay Fire Department","715 Harbor ST","Morro Bay","CA","715 Harbor ST Morro Bay, CA 93442",35.373047,-120.83844,c(-120.83844, 35.373047)
"237","93445","40045","Oceano Fire Department","1655 Front ST","Oceano","CA","1655 Front ST Oceano, CA 93445",35.097599,-120.61327,c(-120.61327, 35.097599)
"238","93446","40050","Paso Robles Department of Emergency Services","900 Park ST","Paso Robles","CA","900 Park ST Paso Robles, CA 93446",35.640589,-120.70418,c(-120.70418, 35.640589)
"239","93449","40055","City of Pismo Beach Fire Department","760 Mattie RD","Pismo Beach","CA","760 Mattie RD Pismo Beach, CA 93449",35.150886,-120.65401,c(-120.65401, 35.150886)
"240","93451","40065","San Miguel Community Services District Fire Department","1150 Mission ST","San Miguel","CA","1150 Mission ST San Miguel, CA 93451",35.818054,-120.63645,c(-120.63645, 35.818054)
"241","93451","40790","Camp Roberts Fire Department","4050 SW Arizona BLVD","San Miguel","CA","4050 SW Arizona BLVD San Miguel, CA 93451",35.818054,-120.63645,c(-120.63645, 35.818054)
"242","93452","40033","Hearst Castle Fire Department","750 Hearst Castle RD","San Simeon","CA","750 Hearst Castle RD San Simeon, CA 93452",35.664386,-121.21965,c(-121.21965, 35.664386)
"243","93453","40070","Santa Margarita Fire Department","22375 G ST","Santa Margarita","CA","22375 G ST Santa Margarita, CA 93453",35.323098,-120.08301,c(-120.08301, 35.323098)
"244","93457","42020","Orcutt Fire Protection District","335 UNION AVE","Orcutt","CA","335 UNION AVE Orcutt, CA 93457",34.836252,-120.53421,c(-120.53421, 34.836252)
"245","93458","42040","Santa Maria City Fire Department","314 W Cook ST RM 8","Santa Maria","CA","314 W Cook ST RM 8 Santa Maria, CA 93458",34.956344,-120.45243,c(-120.45243, 34.956344)
"246","93463","42045","Solvang Fire Department","1644 Oak ST","Solvang","CA","1644 Oak ST Solvang, CA 93463",34.608938,-120.13838,c(-120.13838, 34.608938)
"247","93465","40075","Templeton Fire Department","206 5TH ST","Templeton","CA","206 5TH ST Templeton, CA 93465",35.54464,-120.72428,c(-120.72428, 35.54464)
"248","93501","15023","Mojave Air and Space Port Fire Department","1434 Flightline","Mojave","CA","1434 Flightline Mojave, CA 93501",35.04535,-118.16141,c(-118.16141, 35.04535)
"249","93505","15065","California City Fire Department","20890 Hacienda BLVD","California City","CA","20890 Hacienda BLVD California City, CA 93505",35.139327,-117.91473,c(-117.91473, 35.139327)
"250","93512","26005","White Mountain Fire Protection District","24931 N HWY 6","Benton","CA","24931 N HWY 6 Benton, CA 93512",37.583838,-118.23615,c(-118.23615, 37.583838)
"251","93513","14005","Big Pine Fire Department","181 N Main ST","Big Pine","CA","181 N Main ST Big Pine, CA 93513",37.1363,-118.27335,c(-118.27335, 37.1363)
"252","93514","26045","Wheeler Crest Fire Department","129 Willow RD","Swall Meadows","CA","129 Willow RD Swall Meadows, CA 93514",37.282192,-118.38717,c(-118.38717, 37.282192)
"253","93514","14015","Bishop Fire Department","209 W Line ST","Bishop","CA","209 W Line ST Bishop, CA 93514",37.282192,-118.38717,c(-118.38717, 37.282192)
"254","93514","26555","Inyo National Forest, & Bishop Field Office, BLM","873 N Main ST","Bishop","CA","873 N Main ST Bishop, CA 93514",37.282192,-118.38717,c(-118.38717, 37.282192)
"255","93514","26012","Chalfant Valley Fire Department","215 Valley RD","Chalfant Valley","CA","215 Valley RD Chalfant Valley, CA 93514",37.282192,-118.38717,c(-118.38717, 37.282192)
"256","93514","26042","Paradise Fire Protection District","5300 Old Sherwin Grade","Bishop","CA","5300 Old Sherwin Grade Bishop, CA 93514",37.282192,-118.38717,c(-118.38717, 37.282192)
"257","93517","26010","Bridgeport Fire Protection District","309 Main ST","Bridgeport","CA","309 Main ST Bridgeport, CA 93517",38.21053,-119.31968,c(-119.31968, 38.21053)
"258","93517","M2205","Marine Corps Mountain Warfare Fire Department","MCMWTC Fire Emergency Services","Bridgeport","CA","MCMWTC Fire Emergency Services Bridgeport, CA 93517",38.21053,-119.31968,c(-119.31968, 38.21053)
"259","93524","15830","Edwards Air Force Base Fire & Emergency Services","225 Rosamond BLVD","Edwards AFB","CA","225 Rosamond BLVD Edwards AFB, CA 93524",35.294405,-118.905173,c(-118.905173, 35.294405)
"260","93526","14025","Independence Fire Protection District","200 S Jackson ST","Independence","CA","200 S Jackson ST Independence, CA 93526",36.851729,-118.20743,c(-118.20743, 36.851729)
"261","93529","26020","June Lake Fire Protection District","2380 HWY 158","June Lake","CA","2380 HWY 158 June Lake, CA 93529",37.765218,-119.07769,c(-119.07769, 37.765218)
"262","93530","14030","Keeler Volunteer Fire Department","175 Old State HWY","Keeler","CA","175 Old State HWY Keeler, CA 93530",36.495772,-117.88289,c(-117.88289, 36.495772)
"263","93536","19495","California State Prison-Los Angeles County -Fire Department","44750 60TH ST W","Lancaster","CA","44750 60TH ST W Lancaster, CA 93536",34.728857,-118.32683,c(-118.32683, 34.728857)
"264","93541","26025","Lee Vining Volunteer Fire Department","55 Mattly AVE","Lee Vining","CA","55 Mattly AVE Lee Vining, CA 93541",37.973204,-119.12029,c(-119.12029, 37.973204)
"265","93545","14035","Lone Pine Fire Department","130 Jackson ST","Lone Pine","CA","130 Jackson ST Lone Pine, CA 93545",36.589514,-118.07367,c(-118.07367, 36.589514)
"266","93546","26030","Mammoth Lakes Fire Protection District","P.O. Box 5","Mammoth Lakes","CA","P.O. Box 5 Mammoth Lakes, CA 93546",37.621587,-118.86279,c(-118.86279, 37.621587)
"267","93546","26035","Long Valley Fire Protection District","3605 Crowley Lake DR","Crowley Lake","CA","3605 Crowley Lake DR Crowley Lake, CA 93546",37.621587,-118.86279,c(-118.86279, 37.621587)
"268","93551","","Air Force Plant 42 Fire Department","2501 E Avenue P","Palmdale","CA","2501 E Avenue P Palmdale, CA 93551",34.606146,-118.18495,c(-118.18495, 34.606146)
"269","93555","","Ridgecrest Volunteer Fire Department","139 E Las Flores AVE","Ridgecrest","CA","139 E Las Flores AVE Ridgecrest, CA 93555",35.599177,-117.68065,c(-117.68065, 35.599177)
"270","93561","15410","California Correctional Institute","Hwy 202","Tehachapi","CA","Hwy 202 Tehachapi, CA 93561",35.132673,-118.50781,c(-118.50781, 35.132673)
"271","93561","15040","Tehachapi City Fire Department","108 Pinon ST","Tehachapi","CA","108 Pinon ST Tehachapi, CA 93561",35.132673,-118.50781,c(-118.50781, 35.132673)
"272","93562","36020","Searles Valley Minerals Fire Department","13200 Main ST","Trona","CA","13200 Main ST Trona, CA 93562",35.764433,-117.38202,c(-117.38202, 35.764433)
"273","93581","15070","Sand Canyon Volunteer Fire Department","PO Box 463","Tehachapi","CA","PO Box 463 Tehachapi, CA 93581",35.294405,-118.905173,c(-118.905173, 35.294405)
"274","93602","10055","Bald Mountain Volunteer Fire Protection District","41967 Auberry RD","Auberry","CA","41967 Auberry RD Auberry, CA 93602",37.077273,-119.42982,c(-119.42982, 37.077273)
"275","93602","10135","Auberry Volunteer Fire Department","33051 Powerhouse RD","Auberry","CA","33051 Powerhouse RD Auberry, CA 93602",37.077273,-119.42982,c(-119.42982, 37.077273)
"276","93605","10110","Big Creek Volunteer Fire Department","551121 Point RD","Big Creek","CA","551121 Point RD Big Creek, CA 93605",37.191503,-119.26372,c(-119.26372, 37.191503)
"277","93610","20005","Chowchilla Fire Department","240 N 1ST ST","Chowchilla","CA","240 N 1ST ST Chowchilla, CA 93610",37.100417,-120.27864,c(-120.27864, 37.100417)
"278","93610","20415","Central California Women's Facility Valley State Prison for Women Fire Department","23370 Road 22","Chowchilla","CA","23370 Road 22 Chowchilla, CA 93610",37.100417,-120.27864,c(-120.27864, 37.100417)
"279","93611","10566","Sierra National Forest","1600 Tollhouse RD","Clovis","CA","1600 Tollhouse RD Clovis, CA 93611",36.840057,-119.66107,c(-119.66107, 36.840057)
"280","93612","10005","Clovis Fire Department","1233 5TH ST","Clovis","CA","1233 5TH ST Clovis, CA 93612",36.813456,-119.70826,c(-119.70826, 36.813456)
"281","93618","54010","City of Dinuba Fire Department","420 E Tulare ST","Dinuba","CA","420 E Tulare ST Dinuba, CA 93618",36.538017,-119.38887,c(-119.38887, 36.538017)
"282","93620","24010","Dos Palos Fire Department","1540 Golden Gate AVE","Dos Palos","CA","1540 Golden Gate AVE Dos Palos, CA 93620",37.029613,-120.64014,c(-120.64014, 37.029613)
"283","93621","10145","Mountain Valley Volunteer Fire Department","46694 Chuckwagon RD","Dunlap","CA","46694 Chuckwagon RD Dunlap, CA 93621",36.774951,-119.13779,c(-119.13779, 36.774951)
"284","93622","10020","Firebaugh Fire Department","1575 Eleventh ST","Firebaugh","CA","1575 Eleventh ST Firebaugh, CA 93622",36.800027,-120.57996,c(-120.57996, 36.800027)
"285","93625","10025","Fowler Fire Department","128 S 5th ST","Fowler","CA","128 S 5th ST Fowler, CA 93625",36.6265,-119.67526,c(-119.67526, 36.6265)
"286","93628","10155","Hume Lake Fire & Rescue Department","64144 Hume Lake RD","Hume","CA","64144 Hume Lake RD Hume, CA 93628",36.780156,-118.91524,c(-118.91524, 36.780156)
"287","93630","10040","North Central Fire Protection District","15850 W Kearney BLVD","Kerman","CA","15850 W Kearney BLVD Kerman, CA 93630",36.722616,-120.10081,c(-120.10081, 36.722616)
"288","93631","10045","Kingsburg Fire Department","1460 Marion ST","Kingsburg","CA","1460 Marion ST Kingsburg, CA 93631",36.506063,-119.54587,c(-119.54587, 36.506063)
"289","93634","10038","Huntington Lake Volunteer Fire Department","63000 Huntington Vista LN","Lakeshore","CA","63000 Huntington Vista LN Lakeshore, CA 93634",37.237216,-119.23304,c(-119.23304, 37.237216)
"290","93635","24025","Los Banos Fire Department","333 7TH ST","Los Banos","CA","333 7TH ST Los Banos, CA 93635",37.048385,-120.86983,c(-120.86983, 37.048385)
"291","93637","20015","Madera County Fire Department","200 W 4TH ST, STE 1400","Madera","CA","200 W 4TH ST, STE 1400 Madera, CA 93637",36.914819,-120.15817,c(-120.15817, 36.914819)
"292","93638","20010","Madera City Fire Department","14225 Road 28","Madera","CA","14225 Road 28 Madera, CA 93638",36.991476,-119.98729,c(-119.98729, 36.991476)
"293","93646","10065","Orange Cove Fire Protection District","550 Center ST","Orange Cove","CA","550 Center ST Orange Cove, CA 93646",36.623699,-119.30892,c(-119.30892, 36.623699)
"294","93654","10080","Reedley Fire Department","1060 D ST","Reedley","CA","1060 D ST Reedley, CA 93654",36.608675,-119.43761,c(-119.43761, 36.608675)
"295","93656","10085","Riverdale Volunteer Fire Department","20868 Malsbary","Riverdale","CA","20868 Malsbary Riverdale, CA 93656",36.45185,-119.93651,c(-119.93651, 36.45185)
"296","93657","10090","Sanger Fire Department","1700 Seventh ST","Sanger","CA","1700 Seventh ST Sanger, CA 93657",36.72845,-119.53571,c(-119.53571, 36.72845)
"297","93657","10035","Fig Garden Fire Protection District","210 S Academy AVE","Sanger","CA","210 S Academy AVE Sanger, CA 93657",36.72845,-119.53571,c(-119.53571, 36.72845)
"298","93657","10032","Fresno County Fire Protection District","210 S Academy AVE","Sanger","CA","210 S Academy AVE Sanger, CA 93657",36.72845,-119.53571,c(-119.53571, 36.72845)
"299","93662","10095","Selma Fire Department","1711 Tucker ST","Selma","CA","1711 Tucker ST Selma, CA 93662",36.566779,-119.62201,c(-119.62201, 36.566779)
"300","93664","10120","Shaver Lake Volunteer Fire Department","41690 Tollhouse","Shaver lake","CA","41690 Tollhouse Shaver lake, CA 93664",37.103957,-119.2644,c(-119.2644, 37.103957)
"301","93664","10160","Pine Ridge Volunteer Fire Department","38018 Glenwood LN","Shaver Lake","CA","38018 Glenwood LN Shaver Lake, CA 93664",37.103957,-119.2644,c(-119.2644, 37.103957)
"302","93668","10140","City of San Joaquin/ Fresno County Fire District","25101 W Morton RD","Tranquillity","CA","25101 W Morton RD Tranquillity, CA 93668",36.641742,-120.28909,c(-120.28909, 36.641742)
"303","93721","10030","City of Fresno Fire Department","450 M ST","Fresno","CA","450 M ST Fresno, CA 93721",36.733193,-119.78473,c(-119.78473, 36.733193)
"304","93727","F3021","Fresno Air National Guard Fire Department","5323 E McKinley AVE","Fresno","CA","5323 E McKinley AVE Fresno, CA 93727",36.753177,-119.69703,c(-119.69703, 36.753177)
"305","93727","10031","Fresno Yosemite Intl Airport Public Safety","4995 E Clinton WAY","Fresno","CA","4995 E Clinton WAY Fresno, CA 93727",36.753177,-119.69703,c(-119.69703, 36.753177)
"306","93901","27070","Salinas Fire Department","65 W Alisal ST STE 210","Salinas","CA","65 W Alisal ST STE 210 Salinas, CA 93901",36.665879,-121.65497,c(-121.65497, 36.665879)
"307","93908","27075","Monterey County Regional FIre District","19900 Portola DR","Salinas","CA","19900 Portola DR Salinas, CA 93908",36.619954,-121.65145,c(-121.65145, 36.619954)
"308","93920","27900","Big Sur Volunteer Fire Brigade","HWY 1","Big Sur","CA","HWY 1 Big Sur, CA 93920",36.133401,-121.63798,c(-121.63798, 36.133401)
"309","93921","27015","Carmel-by-the-Sea Fire Department","S Sixth AVE","Carmel","CA","S Sixth AVE Carmel, CA 93921",36.555248,-121.9212,c(-121.9212, 36.555248)
