"","zip","FDID","name","address","city","state","location","latitude","longitude","geometry"
"35","91505","19992","Walt Disney Studios Fire Department","500 N Buena Vista ST","Burbank","CA","500 N Buena Vista ST Burbank, CA 91505",34.166906,-118.34366,c(-118.34366, 34.166906)
"36","91522","19035","Warner Bros Studios Fire Department","4000 Warner BLVD","Burbank","CA","4000 Warner BLVD Burbank, CA 91522",33.786594,-118.298662,c(-118.298662, 33.786594)
"37","91709","36058","Chino Valley Independent Fire District","14011 City Center DR","Chino Hills","CA","14011 City Center DR Chino Hills, CA 91709",33.975267,-117.72305,c(-117.72305, 33.975267)
"38","91730","36010","Rancho Cucamonga Fire Protection District","10500 Civic Center DR","Rancho Cucamonga","CA","10500 Civic Center DR Rancho Cucamonga, CA 91730",34.104555,-117.58734,c(-117.58734, 34.104555)
"39","91733","19565","Angeles National Forest Fire Lookout Association","PO Box 1409","Arcadia","CA","PO Box 1409 Arcadia, CA 91733",34.05051,-118.04834,c(-118.04834, 34.05051)
"40","91750","19095","La Verne Fire Department","2061 3RD ST","La Verne","CA","2061 3RD ST La Verne, CA 91750",34.117047,-117.77097,c(-117.77097, 34.117047)
"41","91754","19135","Monterey Park Fire Department","350 W Newmark AVE","Monterey Park","CA","350 W Newmark AVE Monterey Park, CA 91754",34.048207,-118.14161,c(-118.14161, 34.048207)
"42","91761","36275","Ontario International Airport Fire Rescue","1230 Tower ST","Ontario","CA","1230 Tower ST Ontario, CA 91761",34.036085,-117.6086,c(-117.6086, 34.036085)
"43","91763","36145","Monte Vista Fire Protection District","8901 Monte Vista AVE","Montclair","CA","8901 Monte Vista AVE Montclair, CA 91763",34.07041,-117.69938,c(-117.69938, 34.07041)
"44","91763","36140","Montclair Fire Department","8901 Monte Vista AVE","Montclair","CA","8901 Monte Vista AVE Montclair, CA 91763",34.07041,-117.69938,c(-117.69938, 34.07041)
"45","91764","36170","Ontario Fire Department","415 E B ST","Ontario","CA","415 E B ST Ontario, CA 91764",34.077327,-117.6222,c(-117.6222, 34.077327)
"46","91768","19490","Lanterman Developmental Center ","3530 Pomona  BLVD","Pomona","CA","3530 Pomona  BLVD Pomona, CA 91768",34.06521,-117.77932,c(-117.77932, 34.06521)
"47","91776","19165","San Gabriel Fire Department","1303 S Del Mar AVE","San Gabriel","CA","1303 S Del Mar AVE San Gabriel, CA 91776",34.089059,-118.0951,c(-118.0951, 34.089059)
"48","91786","36215","Upland Fire Department","475 N 2ND AVE","Upland","CA","475 N 2ND AVE Upland, CA 91786",34.101659,-117.65776,c(-117.65776, 34.101659)
"49","91790","19210","West Covina Fire Department","1444 W Garvey AVE S #218","West Covina","CA","1444 W Garvey AVE S #218 West Covina, CA 91790",34.068059,-117.93835,c(-117.93835, 34.068059)
"50","91801","19005","Alhambra Fire Department","301 N 1ST ST","Alhambra","CA","301 N 1ST ST Alhambra, CA 91801",34.090409,-118.127,c(-118.127, 34.090409)
"51","91901","37235","Viejas Fire Department","1 Viejas Grade RD","Alpine","CA","1 Viejas Grade RD Alpine, CA 91901",32.823102,-116.73864,c(-116.73864, 32.823102)
"52","91901","37005","Alpine Fire Protection District","1364 Tavern RD","Alpine","CA","1364 Tavern RD Alpine, CA 91901",32.823102,-116.73864,c(-116.73864, 32.823102)
"53","91902","37010","Bonita Sunnyside Fire Protection District","4900 Bonita RD","Bonita","CA","4900 Bonita RD Bonita, CA 91902",32.663803,-117.02456,c(-117.02456, 32.663803)
"54","91906","37024","Campo Reservation Fire Protection District","36210 Church RD","Campo","CA","36210 Church RD Campo, CA 91906",32.664307,-116.46513,c(-116.46513, 32.664307)
"55","91910","37030","Chula Vista Fire Department","276 4TH AVE BLDG C","Chula Vista","CA","276 4TH AVE BLDG C Chula Vista, CA 91910",32.638654,-117.06686,c(-117.06686, 32.638654)
"56","91932","37085","Imperial Beach Fire Department","865 Imperial Beach BLVD","Imperial Beach","CA","865 Imperial Beach BLVD Imperial Beach, CA 91932",32.579555,-117.11708,c(-117.11708, 32.579555)
"57","91942","37095","La Mesa Fire Department","8054 Allison AVE","La Mesa","CA","8054 Allison AVE La Mesa, CA 91942",32.785,-117.0186,c(-117.0186, 32.785)
